City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Palauig,PH,81.66,scattered clouds,15.44,119.9,Myhousebythesea
529,Pangai,TO,70.65,few clouds,-19.8,-174.35,Ha'apai Beach Resort
530,Kavieng,PG,82.02,moderate rain,-2.57,150.8,Nusa Island Retreat
532,Glendive,US,80.01,clear sky,47.11,-104.71,Super 8 by Wyndham Glendive
533,Sinnamary,GF,86.56,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
534,Puri,IN,84.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
535,Puerto Ayacucho,VE,86.0,thunderstorm,5.66,-67.62,Posada Turistica Manapiare
537,San Andres,CO,86.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
540,Komsomolskiy,UZ,75.2,clear sky,40.43,71.72,Ikathouse
541,Minot,US,78.01,clear sky,48.23,-101.3,Noble Inn
542,Shaowu,CN,70.12,clear sky,27.34,117.48,Yijie Express Hotel
543,Allapalli,IN,79.72,overcast clouds,19.42,80.07,Hotel IK Residency
546,Bolgatanga,GH,77.41,overcast clouds,10.79,-0.85,Mama's Place
549,Manbij,SY,89.6,clear sky,36.53,37.95,Manbej City Hotel
552,Melville,US,78.01,clear sky,40.79,-73.42,Marriott Melville Long Island
553,Champoton,MX,86.0,scattered clouds,19.35,-90.72,HOTEL Posada La Regia
555,Eregli,TR,71.06,clear sky,37.51,34.05,Hotel Fuat Bey
558,Develi,TR,80.6,few clouds,38.39,35.49,Grand Erciyes Otel
559,Padang,ID,77.02,light rain,-0.95,100.35,Mercure Padang
564,Vallenar,CL,76.21,scattered clouds,-28.57,-70.76,Humacao Bed & Breakfast
565,Springdale,US,82.99,few clouds,36.19,-94.13,Springdale Inn
566,Veraval,IN,82.29,overcast clouds,20.9,70.37,Lords Inn Somnath
568,Camacha,PT,75.2,broken clouds,33.08,-16.33,Hotel Porto Santo & Spa
570,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
575,Siverek,TR,91.4,clear sky,37.76,39.32,Mercan Hotel
576,San Quintin,MX,86.34,clear sky,30.48,-115.95,Old Mill Hotel
580,Honolulu,US,78.8,broken clouds,21.31,-157.86,Aston at the Executive Centre Hotel
582,Tura,IN,75.63,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
584,San Rafael Del Sur,NI,86.0,scattered clouds,11.85,-86.44,Hospedaje El Chino
585,Akyab,MM,82.76,overcast clouds,20.15,92.9,Hotel Memory
590,High Rock,BS,87.8,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
591,Akhmeta,GE,78.8,few clouds,42.03,45.21,hotel kvavlo
596,Port Moresby,PG,77.0,overcast clouds,-9.44,147.18,Lamana Hotel
597,Ruidoso,US,77.0,clear sky,33.33,-105.67,Inn of the Mountain Gods
599,Douentza,ML,87.17,overcast clouds,15.0,-2.95,Ogomono Doumbo
602,Ergani,TR,93.2,scattered clouds,38.27,39.76,Serkan Hotel
603,Martapura,ID,74.01,scattered clouds,-3.42,114.85,Montana Hotel Syariah
604,Pandan,PH,81.25,light rain,14.05,124.17,Bonifacio Lodge
606,Darnah,LY,76.93,clear sky,32.77,22.64,زاوية الرفاعي
608,Koutsouras,GR,77.0,clear sky,35.03,25.95,The White Houses
610,Ocean City,US,79.0,clear sky,39.28,-74.57,Biscayne Suites
611,Sur,OM,81.36,clear sky,22.57,59.53,Sur Plaza Hotel
613,Djambala,CG,80.87,few clouds,-2.54,14.75,Auberge Chez Les Emmanuelles
614,Vilhena,BR,93.2,smoke,-12.74,-60.15,Hotel Mirage
615,Brookings,US,75.99,clear sky,44.31,-96.8,Holiday Inn Express & Suites Brookings
618,Funadhoo,MV,82.24,light rain,6.15,73.27,Dhaffalhu Tourist Lodge
620,Phan Thiet,VN,78.93,broken clouds,10.93,108.1,Hotel Saigon-PT
621,Wewak,PG,77.14,moderate rain,-3.55,143.63,In Wewak Boutique Hotel
622,Carutapera,BR,87.42,light rain,-1.2,-46.02,Lidera
624,Faya,SA,80.6,few clouds,18.39,42.45,مقبرة ال مجمل
625,Roswell,US,84.99,clear sky,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
627,Praya,CV,75.2,broken clouds,14.92,-23.51,LT Aparthotel
631,Axim,GH,77.43,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
635,Shimoda,JP,73.0,light rain,34.67,138.95,Shimoda Tokyu Hotel
637,Longview,US,82.99,clear sky,32.5,-94.74,Homewood Suites by Hilton Longview
639,Jishou,CN,72.34,overcast clouds,28.32,109.72,7Days Inn Jishou Railway Station
641,Malakal,SS,74.43,overcast clouds,9.53,31.66,Nile Palace Hotel
642,Koungou,YT,77.0,clear sky,-12.73,45.2,Villa Netibor
643,Finschhafen,PG,78.75,light rain,-6.6,147.87,Cossam Guest House
645,Sao Bento Do Sul,BR,72.0,scattered clouds,-26.25,-49.38,Serra Alta Hotel
646,Aquiraz,BR,84.2,clear sky,-3.9,-38.39,Hotel Laguna Blu
647,Alexandria,EG,80.1,clear sky,31.22,29.96,Royal Crown Hotel
650,Poso,ID,76.91,overcast clouds,-1.4,120.75,Hotel 77 Poso
652,Bar Harbor,US,73.0,scattered clouds,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
653,Pyapon,MM,80.2,overcast clouds,16.28,95.68,Aung Naing Thu Motel
658,Talas,TR,80.6,few clouds,38.69,35.55,Fimaj Residence
659,Ugoofaaru,MV,81.95,light rain,5.67,73.0,Ungoofaaru Inn
660,Omboue,GA,75.11,broken clouds,-1.57,9.26,Hotel Olako
661,Pochutla,MX,87.01,broken clouds,15.74,-96.47,Hotel Posada San Jose
662,Bidor,MY,80.01,light rain,4.11,101.29,Hotel Bidor mk
664,Puerto Palomas,MX,82.4,clear sky,31.77,-107.62,Hotel San Carlos
